station_name,total_trips
W 21 St & 6 Ave,2549.0
West St & Chambers St,2457.0
Broadway & W 58 St,2209.0
6 Ave & W 33 St,2120.0
1 Ave & E 68 St,2092.0
University Pl & E 14 St,2000.0
Broadway & W 25 St,1986.0
Broadway & E 14 St,1969.0
W 31 St & 7 Ave,1930.0
Broadway & E 21 St,1925.0
E 33 St & 1 Ave,1899.0
Cleveland Pl & Spring St,1862.0
12 Ave & W 40 St,1805.0
West St & Liberty St,1787.0
Central Park S & 6 Ave,1763.0
6 Ave & W 34 St,1749.0
E 40 St & Park Ave,1729.0
Lafayette St & E 8 St,1708.0
11 Ave & W 41 St,1687.0
9 Ave & W 22 St,1680.0
